	R,			Em
0.01,0.4801885108
0.02,0.460748177
0.03,0.4416703896
0.04,0.4229467915
0.05,0.4045692667
0.06,0.3865299323
0.07,0.3688211301
0.08,0.351435419
0.09,0.3343655675
0.1,0.3176045461
0.11,0.3011455208
0.12,0.2849818463
0.13,0.2691070598
0.14,0.2535148746
0.15,0.2381991744
0.16,0.2231540077
0.17,0.2083735824
0.18,0.1938522605
0.19,0.179584553
0.2,0.1655651155
0.21,0.1517887432
0.22,0.1382503664
0.23,0.1249450465
0.24,0.111867972
0.25,0.0990144539
0.26,0.0863799225
0.27,0.0739599234
0.28,0.0617501142
0.29,0.0497462607
0.3,0.0379442342
0.31,0.0263400077
0.32,0.0149296531
0.33,0.0037093384
0.34,-0.0073246752
0.35,-0.0181760364
0.36,-0.0288483059
0.37,-0.0393449594
0.38,-0.0496693899
0.39,-0.0598249099
0.4,-0.0698147541
0.41,-0.0796420813
0.42,-0.0893099767
0.43,-0.098821454
0.44,-0.1081794572
0.45,-0.1173868629
0.46,-0.1264464818
0.47,-0.1353610607
0.48,-0.1441332843
0.49,-0.1527657768
0.5,-0.1612611037
0.51,-0.169621773
0.52,-0.1778502373
0.53,-0.185948895
0.54,-0.1939200915
0.55,-0.201766121
0.56,-0.2094892278
0.57,-0.2170916075
0.58,-0.224575408
0.59,-0.2319427314
0.6,-0.2391956346
0.61,-0.2463361307
0.62,-0.2533661903
0.63,-0.260287742
0.64,-0.2671026742
0.65,-0.2738128356
0.66,-0.2804200363
0.67,-0.2869260491
0.68,-0.2933326098
0.69,-0.2996414188
0.7,-0.3058541414
0.71,-0.3119724091
0.72,-0.3179978201
0.73,-0.3239319403
0.74,-0.3297763041
0.75,-0.335532415
0.76,-0.3412017464
0.77,-0.3467857424
0.78,-0.3522858186
0.79,-0.3577033625
0.8,-0.3630397342
0.81,-0.3682962672
0.82,-0.3734742691
0.83,-0.3785750219
0.84,-0.3835997828
0.85,-0.3885497847
0.86,-0.393426237
0.87,-0.3982303255
0.88,-0.4029632139
0.89,-0.4076260433
0.9,-0.4122199334
0.91,-0.4167459828
0.92,-0.4212052693
0.93,-0.4255988507
0.94,-0.4299277648
0.95,-0.4341930303
0.96,-0.4383956469
0.97,-0.4425365959
0.98,-0.4466168405
0.99,-0.4506373261
1,-0.4545989811
1.01,-0.4585027169
1.02,-0.4623494281
1.03,-0.4661399934
1.04,-0.4698752756
1.05,-0.4735561219
1.06,-0.4771833645
1.07,-0.4807578205
1.08,-0.4842802926
1.09,-0.4877515694
1.1,-0.4911724252
1.11,-0.4945436211
1.12,-0.4978659046
1.13,-0.50114001
1.14,-0.504366659
1.15,-0.5075465607
1.16,-0.5106804119
1.17,-0.5137688973
1.18,-0.5168126898
1.19,-0.5198124509
1.2,-0.5227688306
1.21,-0.5256824679
1.22,-0.5285539908
1.23,-0.5313840169
1.24,-0.5341731531
1.25,-0.5369219962
1.26,-0.539631133
1.27,-0.5423011402
1.28,-0.5449325853
1.29,-0.5475260259
1.3,-0.5500820107
1.31,-0.5526010791
1.32,-0.5550837616
1.33,-0.5575305801
1.34,-0.5599420477
1.35,-0.5623186694
1.36,-0.5646609416
1.37,-0.566969353
1.38,-0.569244384
1.39,-0.5714865075
1.4,-0.5736961886
1.41,-0.575873885
1.42,-0.578020047
1.43,-0.5801351177
1.44,-0.5822195331
1.45,-0.5842737223
1.46,-0.5862981075
1.47,-0.5882931044
1.48,-0.5902591219
1.49,-0.5921965626
1.5,-0.5941058227
1.51,-0.5959872923
1.52,-0.5978413552
1.53,-0.5996683894
1.54,-0.601468767
1.55,-0.6032428542
1.56,-0.6049910116
1.57,-0.6067135943
1.58,-0.6084109518
1.59,-0.6100834284
1.6,-0.611731363
1.61,-0.6133550893
1.62,-0.614954936
1.63,-0.6165312267
1.64,-0.6180842802
1.65,-0.6196144105
1.66,-0.6211219267
1.67,-0.6226071333
1.68,-0.6240703303
1.69,-0.6255118131
1.7,-0.6269318728
1.71,-0.6283307961
1.72,-0.6297088654
1.73,-0.6310663588
1.74,-0.6324035506
1.75,-0.6337207108
1.76,-0.6350181054
1.77,-0.6362959966
1.78,-0.6375546427
1.79,-0.6387942983
1.8,-0.640015214
1.81,-0.6412176371
1.82,-0.6424018112
1.83,-0.6435679761
1.84,-0.6447163685
1.85,-0.6458472214
1.86,-0.6469607647
1.87,-0.6480572247
1.88,-0.6491368246
1.89,-0.6501997844
1.9,-0.651246321
1.91,-0.6522766482
1.92,-0.6532909765
1.93,-0.6542895138
1.94,-0.6552724648
1.95,-0.6562400313
1.96,-0.6571924124
1.97,-0.6581298043
1.98,-0.6590524004
1.99,-0.6599603915
2,-0.6608539656
2.01,-0.6617333082
2.02,-0.662598602
2.03,-0.6634500275
2.04,-0.6642877624
2.05,-0.665111982
2.06,-0.6659228592
2.07,-0.6667205645
2.08,-0.6675052662
2.09,-0.66827713
2.1,-0.6690363195
2.11,-0.669782996
2.12,-0.6705173187
2.13,-0.6712394444
2.14,-0.6719495281
2.15,-0.6726477224
2.16,-0.6733341779
2.17,-0.6740090432
2.18,-0.6746724649
2.19,-0.6753245876
2.2,-0.6759655538
2.21,-0.6765955045
2.22,-0.6772145783
2.23,-0.6778229122
2.24,-0.6784206415
2.25,-0.6790078993
2.26,-0.6795848174
2.27,-0.6801515254
2.28,-0.6807081515
2.29,-0.681254822
2.3,-0.6817916617
2.31,-0.6823187935
2.32,-0.6828363391
2.33,-0.6833444181
2.34,-0.6838431488
2.35,-0.684332648
2.36,-0.6848130307
2.37,-0.6852844108
2.38,-0.6857469003
2.39,-0.68620061
2.4,-0.6866456492
2.41,-0.6870821257
2.42,-0.687510146
2.43,-0.6879298151
2.44,-0.6883412368
2.45,-0.6887445135
2.46,-0.6891397461
2.47,-0.6895270346
2.48,-0.6899064773
2.49,-0.6902781714
2.5,-0.690642213
2.51,-0.6909986968
2.52,-0.6913477163
2.53,-0.6916893638
2.54,-0.6920237304
2.55,-0.6923509063
2.56,-0.6926709803
2.57,-0.69298404
2.58,-0.6932901721
2.59,-0.6935894622
2.6,-0.6938819946
2.61,-0.6941678529
2.62,-0.6944471192
2.63,-0.6947198749
2.64,-0.6949862003
2.65,-0.6952461747
2.66,-0.6954998763
2.67,-0.6957473825
2.68,-0.6959887695
2.69,-0.6962241128
2.7,-0.6964534869
2.71,-0.6966769652
2.72,-0.6968946204
2.73,-0.6971065241
2.74,-0.6973127473
2.75,-0.6975133599
2.76,-0.6977084309
2.77,-0.6978980286
2.78,-0.6980822205
2.79,-0.698261073
2.8,-0.6984346519
2.81,-0.6986030223
2.82,-0.6987662481
2.83,-0.6989243929
2.84,-0.6990775192
2.85,-0.6992256889
2.86,-0.6993689629
2.87,-0.6995074018
2.88,-0.699641065
2.89,-0.6997700114
2.9,-0.6998942993
2.91,-0.7000139861
2.92,-0.7001291286
2.93,-0.7002397829
2.94,-0.7003460043
2.95,-0.7004478476
2.96,-0.7005453669
2.97,-0.7006386157
2.98,-0.7007276467
2.99,-0.7008125121
3,-0.7008932635
3.01,-0.7009699517
3.02,-0.7010426271
3.03,-0.7011113394
3.04,-0.7011761377
3.05,-0.7012370706
3.06,-0.7012941861
3.07,-0.7013475314
3.08,-0.7013971535
3.09,-0.7014430987
3.1,-0.7014854126
3.11,-0.7015241404
3.12,-0.7015593269
3.13,-0.7015910161
3.14,-0.7016192517
3.15,-0.7016440767
3.16,-0.7016655337
3.17,-0.7016836648
3.18,-0.7016985117
3.19,-0.7017101154
3.2,-0.7017185166
3.21,-0.7017237554
3.22,-0.7017258715
3.23,-0.7017249041
3.24,-0.701720892
3.25,-0.7017138735
3.26,-0.7017038865
3.27,-0.7016909683
3.28,-0.7016751561
3.29,-0.7016564863
3.3,-0.701634995
3.31,-0.7016107181
3.32,-0.7015836908
3.33,-0.701553948
3.34,-0.7015215242
3.35,-0.7014864536
3.36,-0.7014487697
3.37,-0.701408506
3.38,-0.7013656954
3.39,-0.7013203704
3.4,-0.7012725632
3.41,-0.7012223056
3.42,-0.7011696291
3.43,-0.7011145647
3.44,-0.7010571433
3.45,-0.7009973951
3.46,-0.7009353502
3.47,-0.7008710383
3.48,-0.7008044888
3.49,-0.7007357307
3.5,-0.7006647926
3.51,-0.7005917029
3.52,-0.7005164897
3.53,-0.7004391806
3.54,-0.7003598032
3.55,-0.7002783844
3.56,-0.700194951
3.57,-0.7001095297
3.58,-0.7000221464
3.59,-0.6999328272
3.6,-0.6998415976
3.61,-0.6997484829
3.62,-0.6996535081
3.63,-0.699556698
3.64,-0.6994580771
3.65,-0.6993576695
3.66,-0.6992554991
3.67,-0.6991515896
3.68,-0.6990459644
3.69,-0.6989386465
3.7,-0.6988296588
3.71,-0.698719024
3.72,-0.6986067643
3.73,-0.6984929019
3.74,-0.6983774586
3.75,-0.6982604561
3.76,-0.6981419155
3.77,-0.6980218582
3.78,-0.697900305
3.79,-0.6977772765
3.8,-0.6976527931
3.81,-0.6975268751
3.82,-0.6973995424
3.83,-0.6972708148
3.84,-0.6971407118
3.85,-0.6970092526
3.86,-0.6968764565
3.87,-0.6967423422
3.88,-0.6966069285
3.89,-0.6964702338
3.9,-0.6963322764
3.91,-0.6961930743
3.92,-0.6960526454
3.93,-0.6959110073
3.94,-0.6957681776
3.95,-0.6956241734
3.96,-0.6954790118
3.97,-0.6953327098
3.98,-0.6951852841
3.99,-0.695036751
4,-0.6948871271
4.01,-0.6947364285
4.02,-0.694584671
4.03,-0.6944318706
4.04,-0.6942780428
4.05,-0.6941232031
4.06,-0.6939673667
4.07,-0.6938105488
4.08,-0.6936527644
4.09,-0.6934940282
4.1,-0.6933343548
4.11,-0.6931737586
4.12,-0.6930122541
4.13,-0.6928498552
4.14,-0.6926865761
4.15,-0.6925224304
4.16,-0.692357432
4.17,-0.6921915943
4.18,-0.6920249306
4.19,-0.6918574543
4.2,-0.6916891785
4.21,-0.6915201159
4.22,-0.6913502796
4.23,-0.691179682
4.24,-0.6910083357
4.25,-0.6908362532
4.26,-0.6906634466
4.27,-0.690489928
4.28,-0.6903157095
4.29,-0.6901408028
4.3,-0.6899652197
4.31,-0.6897889718
4.32,-0.6896120705
4.33,-0.6894345272
4.34,-0.689256353
4.35,-0.6890775591
4.36,-0.6888981564
4.37,-0.6887181557
4.38,-0.6885375677
4.39,-0.6883564032
4.4,-0.6881746725
4.41,-0.687992386
4.42,-0.687809554
4.43,-0.6876261866
4.44,-0.6874422939
4.45,-0.6872578857
4.46,-0.687072972
4.47,-0.6868875623
4.48,-0.6867016663
4.49,-0.6865152935
4.5,-0.6863284533
4.51,-0.6861411549
4.52,-0.6859534076
4.53,-0.6857652204
4.54,-0.6855766022
4.55,-0.685387562
4.56,-0.6851981086
4.57,-0.6850082507
4.58,-0.6848179967
4.59,-0.6846273553
4.6,-0.6844363348
4.61,-0.6842449435
4.62,-0.6840531897
4.63,-0.6838610814
4.64,-0.6836686268
4.65,-0.6834758337
4.66,-0.68328271
4.67,-0.6830892635
4.68,-0.6828955018
4.69,-0.6827014327
4.7,-0.6825070634
4.71,-0.6823124016
4.72,-0.6821174546
4.73,-0.6819222296
4.74,-0.6817267338
4.75,-0.6815309743
4.76,-0.6813349582
4.77,-0.6811386923
4.78,-0.6809421836
4.79,-0.6807454389
4.8,-0.6805484648
4.81,-0.6803512681
4.82,-0.6801538553
4.83,-0.6799562328
4.84,-0.6797584071
4.85,-0.6795603846
4.86,-0.6793621716
4.87,-0.6791637742
4.88,-0.6789651985
4.89,-0.6787664507
4.9,-0.6785675368
4.91,-0.6783684627
4.92,-0.6781692342
4.93,-0.6779698572
4.94,-0.6777703374
4.95,-0.6775706805
4.96,-0.677370892
4.97,-0.6771709776
4.98,-0.6769709427
4.99,-0.6767707926
5,-0.6765705329
