        R,                     Em
0.01,5.7891547293
0.02,5.5871779129
0.03,5.3935800716
0.04,5.2079057026
0.05,5.0297304269
0.06,4.8586584171
0.07,4.6943200754
0.08,4.536369932
0.09,4.3844847416
0.1,4.2383617562
0.11,4.0977171545
0.12,3.9622846135
0.13,3.8318140056
0.14,3.70607021
0.15,3.5848320263
0.16,3.4678911799
0.17,3.3550514112
0.18,3.2461276402
0.19,3.1409451981
0.2,3.0393391224
0.21,2.9411535062
0.22,2.8462409003
0.23,2.7544617601
0.24,2.665683936
0.25,2.5797822014
0.26,2.4966378166
0.27,2.4161381247
0.28,2.3381761767
0.29,2.262650384
0.3,2.1894641958
0.31,2.1185257985
0.32,2.0497478368
0.33,1.983047154
0.34,1.9183445493
0.35,1.8555645523
0.36,1.7946352122
0.37,1.7354879008
0.38,1.6780571289
0.39,1.6222803737
0.4,1.5680979182
0.41,1.5154527002
0.42,1.4642901708
0.43,1.4145581624
0.44,1.3662067636
0.45,1.319188203
0.46,1.273456739
0.47,1.2289685571
0.48,1.1856816723
0.49,1.1435558384
0.5,1.1025524613
0.51,1.0626345187
0.52,1.023766483
0.53,0.9859142496
0.54,0.9490450688
0.55,0.9131274816
0.56,0.878131259
0.57,0.8440273444
0.58,0.8107877999
0.59,0.7783857545
0.6,0.7467953557
0.61,0.7159917237
0.62,0.6859509073
0.63,0.6566498433
0.64,0.6280663168
0.65,0.6001789242
0.66,0.5729670381
0.67,0.5464107735
0.68,0.5204909564
0.69,0.4951890933
0.7,0.4704873428
0.71,0.4463684876
0.72,0.4228159096
0.73,0.3998135641
0.74,0.377345957
0.75,0.3553981221
0.76,0.3339555999
0.77,0.3130044169
0.78,0.2925310667
0.79,0.2725224911
0.8,0.2529660627
0.81,0.2338495681
0.82,0.2151611914
0.83,0.1968894994
0.84,0.1790234266
0.85,0.1615522613
0.86,0.1444656321
0.87,0.1277534954
0.88,0.1114061229
0.89,0.0954140896
0.9,0.0797682635
0.91,0.0644597939
0.92,0.0494801016
0.93,0.0348208691
0.94,0.0204740311
0.95,0.0064317652
0.96,-0.0073135162
0.97,-0.0207691747
0.98,-0.0339423537
0.99,-0.0468399857
1,-0.0594688003
1.01,-0.0718353306
1.02,-0.0839459203
1.03,-0.0958067301
1.04,-0.1074237437
1.05,-0.1188027743
1.06,-0.1299494697
1.07,-0.1408693183
1.08,-0.1515676542
1.09,-0.1620496625
1.1,-0.1723203838
1.11,-0.1823847192
1.12,-0.1922474351
1.13,-0.2019131669
1.14,-0.2113864239
1.15,-0.2206715928
1.16,-0.2297729421
1.17,-0.2386946252
1.18,-0.2474406849
1.19,-0.2560150561
1.2,-0.2644215694
1.21,-0.2726639547
1.22,-0.2807458437
1.23,-0.2886707735
1.24,-0.296442189
1.25,-0.3040634462
1.26,-0.3115378144
1.27,-0.3188684791
1.28,-0.3260585447
1.29,-0.3331110364
1.3,-0.340028903
1.31,-0.346815019
1.32,-0.3534721868
1.33,-0.3600031387
1.34,-0.3664105393
1.35,-0.372696987
1.36,-0.3788650162
1.37,-0.3849170991
1.38,-0.3908556477
1.39,-0.3966830148
1.4,-0.4024014965
1.41,-0.4080133335
1.42,-0.4135207125
1.43,-0.4189257678
1.44,-0.4242305829
1.45,-0.4294371918
1.46,-0.4345475804
1.47,-0.4395636879
1.48,-0.4444874077
1.49,-0.4493205891
1.5,-0.4540650386
1.51,-0.4587225204
1.52,-0.4632947581
1.53,-0.4677834357
1.54,-0.4721901985
1.55,-0.4765166542
1.56,-0.4807643741
